Designator,Mid X,Mid Y,Rotation,Layer
C1,88.0,-72.7,180.0,top
C2,87.9625,-70.65,0.0,top
C3,98.5,-93.5,0.0,top
C4,96.9625,-111.66,180.0,top
C5,89.0,-107.5,0.0,top
C6,113.0375,-107.5,0.0,top
C7,94.4,-117.75,0.0,top
D1,132.0,-97.95,0.0,top
D2,122.934315,-119.850862,315.0,top
D3,70.0,-97.95,180.0,top
D4,122.9,-76.0,45.0,top
D5,79.0,-76.0,135.0,top
D6,79.0,-120.0,225.0,top
D7,83.8,-123.85,45.0,top
J1,118.835,-87.55,90.0,top
J2,76.92,-107.3,90.0,top
J3,106.234969,-122.571855,180.0,top
J4,93.55,-126.0,0.0,top
R1,88.0,-74.75,0.0,top
R10,114.7,-79.5,0.0,top
R11,85.35,-125.45,45.0,top
R2,102.5,-93.5,0.0,top
R3,101.3175,-111.7,0.0,top
R4,89.0,-105.5,0.0,top
R5,113.0,-105.5,0.0,top
R6,85.85,-81.15,0.0,top
R7,123.95,-106.1,180.0,top
R8,124.2,-101.45,90.0,top
R9,114.7,-77.4,0.0,top
Reset1,117.5,-99.0,0.0,top
SW1,95.5,-106.625,0.0,top
SW2,106.5,-106.625,0.0,top
U1,101.0,-80.48,0.0,top
U2,101.0,-98.0875,0.0,top
U3,80.619,-88.46,0.0,top
U4,88.1,-116.8,270.0,top
